WORD_ID;FROM;TO;EXAMPLE;GLOBAL_ENABLED
90eadc73-ef0e-3efe-a5f3-e2ecd0b76d28;Letter;Betű;Írtam egy betűt a barátomnak.;true
2a82c407-efb7-3a9d-95da-dde99ed08e2b;Silliness;Butaság;Ez nagy butaság volt!;true
566a1ed7-f5dc-369d-bd25-132c303c8cba;Stamp;Bélyeg;A levélen van egy bélyeg.;true
3c8a6f58-1c14-3e99-ae6c-a3b122c028de;Postcard;Képeslap;Küldök egy képeslapot Varsóból.;true
f03bf429-657b-3b4c-97f0-34d65975d383;Envelope;Boríték;A levél a borítékban van.;true
22accea7-e84c-393f-87b4-664b70ec7a4d;Newspaper;Ujság;Reggel újságot olvasok.;true
13a65e21-c19d-3a08-aff1-559fa1dbb629;Glue;Ragaszto;A ragasztó az asztalon van.;true
c0a24c2c-db9d-351d-8897-982b53a8b41a;Eraser;Radír;Kérem a radírodat!;true
d566ff15-d5ed-31c5-bbc4-3677ab872d07;Vacuum cleaner;Porszívó;A porszívó hangos.;true
e8c037a6-175e-36a6-985f-978d30828f9e;Screws;Csavarok;Csavarok kellenek a polchoz.;true
80127852-b294-3058-951d-23f818f714c2;To set;Beállitni;Be kell állítani a hőmérsékletet.;true
d1f36b1a-8fc3-3e53-9117-64e7773e936e;Detergent;Mosószer;Mosószert veszek a boltban.;true
0fe5ef25-7d03-3825-8105-5ad576c00238;Fill;Tölt;Töltöm a poharat vízzel.;true
6901ba11-9361-328d-93e8-c37b2c0474bb;To start;Elindítni;El kell indítani a gépet.;true
8420d6e2-1fbd-35c7-9e9d-e0c928b15e2c;Bush;Bokor;A madár a bokorban van.;true
69690c3b-3517-383b-9cf2-ca35b92123fa;Bus stop;Buszmegálló;A buszmegállónál várok.;true
adb8668b-71b7-3746-af23-30aba242e733;Cloud;Felhő;Nagy fekete felhők vannak az égen.;true
e24d8200-13d9-3829-83d7-684f6352ac47;Fisherman;Horgász;A horgász a tónál ül.;true
12e8fcde-6ab4-34e5-ae3d-c1e144ccba83;Sidewalk;Járda;A gyerekek a járdán sétálnak.;true
b249266d-47a4-3bea-872d-f67e21a98ded;Fence;Kerités;A kert körül kerítés van.;true
62f6e492-f20d-3665-96ba-7b43058f8fc6;Stone;Kő;Nagy kő van az úton.;true
a43d599a-369f-3dc5-872e-d6837e9e13bd;Field;Mező;A tehén a mezőn legel.;true
187ef81d-8596-3dba-a39b-6da1acc2546d;Tower;Torony;A torony nagyon magas.;true
b2cc98c7-35d8-31bd-ade9-9645e9674d62;Temple;Templom;A templom a városközpontban van.;true
9fcd9ee0-e725-3f29-ac86-107f8ce13a2a;Hallway;Előszoba;A cipők az előszobában vannak.;true
52029424-0eac-32aa-8406-1126298746ea;To move;Költözni;Hamarosan új lakásba költözünk.;true
489854be-c5d2-33e1-b8a4-36f68a04be49;All;Összes;Az összes könyvet elolvastam.;true
bbb69792-db92-33d0-a83a-59d752926a66;Angry;Mérges;Mérges vagyok, mert késtél.;true
8480316b-912e-3b8b-a1d6-1440ed38ebfc;Interests me;Érdekel;Nagyon érdekel a magyar kultúra.;true
c5670897-1433-3306-a125-8e9e1397b7cc;To arrive;Megérkezni;Mikor érkezel meg Budapestre?;true
778ca962-1b4a-3297-aa18-75294714b01b;To tell(a story);Elmesélni;Elmesélte a kalandját.;true
a3358077-603d-3d5b-8083-a115ec9181d6;Morning;Délelőtt;Délelőtt dolgozom otthon.;true
