WORD_ID;FROM;TO;EXAMPLE;GLOBAL_ENABLED
37e04c53-3a05-303a-a7cd-65319c412573;Letter;List;Piszę list do przyjaciela.;true
dcd3b9f4-8029-3f9f-b2b9-dd22a28d4e9f;Silliness;Głupota;To była wielka głupota!;true
8fca4e95-cf98-33af-b6a3-0797ce6627c6;Stamp;Znaczek;Na kopercie jest znaczek.;true
aafa165b-cba4-3e32-a6c4-eb7870f4ba75;Postcard;Pocztówka;Wysyłam pocztówkę z Warszawy.;true
0582ac05-b4ef-3f37-b4c3-ef4a841a919f;Envelope;Koperta;List jest w kopercie.;true
c22a49ab-3bf4-3524-8f84-0360384e1cf2;Newspaper;Gazeta;Rano czytam gazetę.;true
f79cff2d-cd13-3a37-9407-2176e86dd5c7;Glue;Klej;Klej leży na stole.;true
a773e79f-2102-39e5-8b77-ead5062ddb87;Eraser;Gumka;Pożycz mi swoją gumkę!;true
bc1b4d57-8c8a-3057-9779-3e4cee5b657c;Vacuum cleaner;Odkurzacz;Odkurzacz jest bardzo głośny.;true
1d7bbce1-c208-32b1-a89d-b4041e5b70a6;Screws;Śruby;Do półki potrzeba śrub.;true
d90786e9-c027-36a3-980b-1db1a5da88e8;To set;Ustawić;Trzeba ustawić temperaturę.;true
1ee71178-4f88-3d6a-8f4c-170df33d543b;Detergent;Proszek do prania;Kupuję proszek do prania.;true
e9d9f625-39d8-31d3-9bca-3c6b71af5eb1;Fill;Napełnić;Napełniam szklankę wodą.;true
97dcfb67-4ccc-3572-ac6d-e1f397fa3c3f;To start;Uruchomić;Trzeba uruchomić maszynę.;true
55ba4306-7813-3734-ba7d-64e2689ca335;Bush;Krzak;Ptak siedzi w krzaku.;true
a3038f1e-347b-3a84-842f-61deea3ff3ba;Bus stop;Przystanek autobusowy;Czekam na przystanku autobusowym.;true
8aeb6994-e767-34a3-9f0e-e82195f6a7d3;Cloud;Chmura;Na niebie są ciemne chmury.;true
e89c27ff-629b-3bad-a6b9-680c38bda262;Fisherman;Wędkarz;Wędkarz siedzi nad jeziorem.;true
7417f4cf-a9ff-3410-8b93-775673971547;Sidewalk;Chodnik;Dzieci idą chodnikiem.;true
17103000-95af-3e8b-a474-85b19fda6601;Fence;Płot;Wokół ogrodu jest płot.;true
f9f81c43-2ed9-33ab-83d1-61abeffa1887;Stone;Kamień;Na drodze leży kamień.;true
b798549c-e73b-3e0c-ac02-37ee7ddc4b94;Field;Łąka;Krowa pasie się na łące.;true
dd841862-bd21-3e3f-abb6-45b7bc82d72e;Tower;Wieża;Ta wieża jest bardzo wysoka.;true
6a31050f-f698-3326-86a2-cc34270d057e;Temple;Świątynia;Świątynia stoi w centrum miasta.;true
c2751685-fb95-348b-a01d-657e0b8626c0;Hallway;Przedpokój;Buty stoją w przedpokoju.;true
869b6084-2354-304b-a441-c416f16ab45a;To move;Przeprowadzić się;Wkrótce przeprowadzamy się do nowego mieszkania.;true
3f2191e3-88a6-3e30-930f-87e97e1b940f;All;Wszystkie;Przeczytałem wszystkie książki.;true
007d2b5d-c73f-3e28-8c0a-33dcb18f3f70;Angry;Zły;Jestem zły, bo się spóźniłeś.;true
fc724be7-b074-35d1-a028-eaec91586e74;Interests me;Interesuje mnie;Bardzo interesuje mnie kultura polska.;true
